Driver,Kart,Tires,Glider,Weight,Acceleration,On-Road Traction,Off-Road Traction,Mini Turbo,Ground Speed,Water Speed,Anti-Gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-Gravity Handling,Air Handling
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",3.5,2.75,3,4.75,2.5,3,2,2.5,2,3,3.5,3,3.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.75,3.25,2.75,4.75,2.5,3,2.75,2.5,1.75,3.25,3.25,3.75,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3,3.25,3,4.5,2.5,3,2.5,2.5,1.75,3.25,3.5,3.5,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",3,3,2.75,4.75,2.25,3.25,2.75,2.25,2,3.25,3.25,3.75,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",3.25,3,3,4.5,2.25,3.25,2.5,2.5,2,3.25,3.5,3.5,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,4,2,4.25,3.75,2.25,2.5,2,2.25,4,4,4.25,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,4,2.25,4,3.75,2.25,2.25,2,2.25,4,4.25,4,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",2.25,3.75,2,4.25,3.5,2.5,2.5,1.75,2.5,4,4,4.25,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",2.5,3.75,2.25,4,3.5,2.5,2.25,2,2.5,4,4.25,4,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.75,2.75,3,3.25,2.25,3.25,1.75,3,1.5,3.5,3,3.75,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3,2.75,3.25,3,2.25,3.25,1.5,3,1.5,3.5,3.25,3.5,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",3,2.5,3,3.25,2,3.5,1.75,2.75,1.75,3.5,3,3.75,3.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",3.25,2.5,3.25,3,2,3.5,1.5,3,1.75,3.5,3.25,3.5,3.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.5,3,3,3.5,2.75,3,2.25,3,2,4,4,4,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.75,3,3.25,3.25,2.75,3,2,3,2,4,4.25,3.75,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",2.75,2.75,3,3.5,2.5,3.25,2.25,2.75,2.25,4,4,4,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",3,2.75,3.25,3.25,2.5,3.25,2,3,2.25,4,4.25,3.75,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.25,3.5,2.5,4.75,3.25,2.5,2,2.25,2.5,3.5,3.25,3.75,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.5,3.5,2.75,4.5,3.25,2.5,1.75,2.25,2.5,3.5,3.5,3.5,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",2.5,3.25,2.5,4.75,3,2.75,2,2,2.75,3.5,3.25,3.75,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",2.75,3.25,2.75,4.5,3,2.75,1.75,2.25,2.75,3.5,3.5,3.5,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.5,3.5,2.5,4.5,3,2.75,2.5,2.5,2.25,3.75,3.75,4,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.75,3.5,2.75,4.25,3,2.75,2.25,2.5,2.25,3.75,4,3.75,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",2.75,3.25,2.5,4.5,2.75,3,2.5,2.25,2.5,3.75,3.75,4,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",3,3.25,2.75,4.25,2.75,3,2.25,2.5,2.5,3.75,4,3.75,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1,5.5,2,3.75,5.25,1.25,2,2.25,2,5,4.5,5.25,4.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.25,5.5,2.25,3.5,5.25,1.25,1.75,2.25,2,5,4.75,5,4.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",1.25,5.25,2,3.75,5,1.5,2,2,2.25,5,4.5,5.25,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",1.5,5.25,2.25,3.5,5,1.5,1.75,2.25,2.25,5,4.75,5,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,4.25,2,3.5,4,2,2.25,2,2,4.75,4.25,4.5,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,4.25,2.25,3.25,4,2,2,2,2,4.75,4.5,4.25,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",2.25,4,2,3.5,3.75,2.25,2.25,1.75,2.25,4.75,4.25,4.5,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",2.5,4,2.25,3.25,3.75,2.25,2,2,2.25,4.75,4.5,4.25,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,4.75,2.5,4.75,4.5,1.5,2,2.25,1.75,4.25,4,4.25,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,4.75,2.75,4.5,4.5,1.5,1.75,2.25,1.75,4.25,4.25,4,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",2.25,4.5,2.5,4.75,4.25,1.75,2,2,2,4.25,4,4.25,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",2.5,4.5,2.75,4.5,4.25,1.75,1.75,2.25,2,4.25,4.25,4,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,5,2.5,4.5,4.25,1.75,2.5,2.25,1.75,4.5,4,4.75,4.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,5,2.75,4.25,4.25,1.75,2.25,2.25,1.75,4.5,4.25,4.5,4.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",2,4.75,2.5,4.5,4,2,2.5,2,2,4.5,4,4.75,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",2.25,4.75,2.75,4.25,4,2,2.25,2.25,2,4.5,4.25,4.5,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",1,5.75,1.75,4,5.5,1,2.25,1.75,2.25,5.25,4.75,5.25,5.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.25,5.75,2,3.75,5.5,1,2,1.75,2.25,5.25,5,5,5.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",1.25,5.5,1.75,4,5.25,1.25,2.25,1.5,2.5,5.25,4.75,5.25,5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",1.5,5.5,2,3.75,5.25,1.25,2,1.75,2.5,5.25,5,5,5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,4.5,2.75,3,4,2,1.5,2.75,1.5,4.75,3.75,4.75,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,4.5,3,2.75,4,2,1.25,2.75,1.5,4.75,4,4.5,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",2,4.25,2.75,3,3.75,2.25,1.5,2.5,1.75,4.75,3.75,4.75,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",2.25,4.25,3,2.75,3.75,2.25,1.25,2.75,1.75,4.75,4,4.5,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,4.75,2.75,3.25,4.5,1.75,2,2.75,2,5.25,4.75,5,5.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,4.75,3,3,4.5,1.75,1.75,2.75,2,5.25,5,4.75,5.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",1.75,4.5,2.75,3.25,4.25,2,2,2.5,2.25,5.25,4.75,5,5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",2,4.5,3,3,4.25,2,1.75,2.75,2.25,5.25,5,4.75,5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.25,5.25,2.25,4.5,5,1.25,1.75,2,2.5,4.75,4,4.75,5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.5,5.25,2.5,4.25,5,1.25,1.5,2,2.5,4.75,4.25,4.5,5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",1.5,5,2.25,4.5,4.75,1.5,1.75,1.75,2.75,4.75,4,4.75,4.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",1.75,5,2.5,4.25,4.75,1.5,1.5,2,2.75,4.75,4.25,4.5,4.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,5.25,2.25,4.25,4.75,1.5,2.25,2.25,2.25,5,4.5,5,5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,5.25,2.5,4,4.75,1.5,2,2.25,2.25,5,4.75,4.75,5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",1.75,5,2.25,4.25,4.5,1.75,2.25,2,2.5,5,4.5,5,4.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",2,5,2.5,4,4.5,1.75,2,2.25,2.5,5,4.75,4.75,4.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1,4.5,2,3.5,4.25,2.25,2.25,2.75,2.5,4.25,4.25,5.25,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.25,4.5,2.25,3.25,4.25,2.25,2,2.75,2.5,4.25,4.5,5,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",1.25,4.25,2,3.5,4,2.5,2.25,2.5,2.75,4.25,4.25,5.25,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",1.5,4.25,2.25,3.25,4,2.5,2,2.75,2.75,4.25,4.5,5,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,3.25,2,3.25,3,3,2.5,2.5,2.5,4,4,4.5,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,3.25,2.25,3,3,3,2.25,2.5,2.5,4,4.25,4.25,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",2.25,3,2,3.25,2.75,3.25,2.5,2.25,2.75,4,4,4.5,3.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",2.5,3,2.25,3,2.75,3.25,2.25,2.5,2.75,4,4.25,4.25,3.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,3.75,2.5,4.5,3.5,2.5,2.25,2.75,2.25,3.5,3.75,4.25,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,3.75,2.75,4.25,3.5,2.5,2,2.75,2.25,3.5,4,4,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",2.25,3.5,2.5,4.5,3.25,2.75,2.25,2.5,2.5,3.5,3.75,4.25,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",2.5,3.5,2.75,4.25,3.25,2.75,2,2.75,2.5,3.5,4,4,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,4,2.5,4.25,3.25,2.75,2.75,2.75,2.25,3.75,3.75,4.75,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,4,2.75,4,3.25,2.75,2.5,2.75,2.25,3.75,4,4.5,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",2,3.75,2.5,4.25,3,3,2.75,2.5,2.5,3.75,3.75,4.75,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",2.25,3.75,2.75,4,3,3,2.5,2.75,2.5,3.75,4,4.5,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",1,4.75,1.75,3.75,4.5,2,2.5,2.25,2.75,4.5,4.5,5.25,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.25,4.75,2,3.5,4.5,2,2.25,2.25,2.75,4.5,4.75,5,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",1.25,4.5,1.75,3.75,4.25,2.25,2.5,2,3,4.5,4.5,5.25,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",1.5,4.5,2,3.5,4.25,2.25,2.25,2.25,3,4.5,4.75,5,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,3.5,2.75,2.75,3,3,1.75,3.25,2,4,3.5,4.75,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,3.5,3,2.5,3,3,1.5,3.25,2,4,3.75,4.5,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",2,3.25,2.75,2.75,2.75,3.25,1.75,3,2.25,4,3.5,4.75,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",2.25,3.25,3,2.5,2.75,3.25,1.5,3.25,2.25,4,3.75,4.5,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,3.75,2.75,3,3.5,2.75,2.25,3.25,2.5,4.5,4.5,5,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,3.75,3,2.75,3.5,2.75,2,3.25,2.5,4.5,4.75,4.75,4.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",1.75,3.5,2.75,3,3.25,3,2.25,3,2.75,4.5,4.5,5,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",2,3.5,3,2.75,3.25,3,2,3.25,2.75,4.5,4.75,4.75,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.25,4.25,2.25,4.25,4,2.25,2,2.5,3,4,3.75,4.75,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.5,4.25,2.5,4,4,2.25,1.75,2.5,3,4,4,4.5,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",1.5,4,2.25,4.25,3.75,2.5,2,2.25,3.25,4,3.75,4.75,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",1.75,4,2.5,4,3.75,2.5,1.75,2.5,3.25,4,4,4.5,4
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,4.25,2.25,4,3.75,2.5,2.5,2.75,2.75,4.25,4.25,5,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,4.25,2.5,3.75,3.75,2.5,2.25,2.75,2.75,4.25,4.5,4.75,4.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Blue Falcon, Splat Buggy","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",1.75,4,2.25,4,3.5,2.75,2.5,2.5,3,4.25,4.25,5,4
